query,expected_title,baseline_top1,baseline_top3,rag_top1,rag_top3,baseline_hit1,baseline_hit3,rag_hit1,rag_hit3,baseline_rr3,rag_rr3
小朋友中午要睡觉，午间别排队,亲子慢旅行偏好,夜间安全约束,夜间安全约束 | 亲子慢旅行偏好 | 摄影采风偏好,亲子慢旅行偏好,亲子慢旅行偏好 | 夏季避暑策略 | 夜间安全约束,False,True,True,True,0.5000,1.0000
博物馆参观安排上午场更稳妥,博物馆预约规则,博物馆预约规则,博物馆预约规则 | 夜间安全约束 | 文创购物偏好,博物馆预约规则,博物馆预约规则 | 雨天备选策略 | 亲子慢旅行偏好,True,True,True,True,1.0000,1.0000
晚上活动可以有，但10点前回住处,夜间安全约束,亲子慢旅行偏好,亲子慢旅行偏好 | 摄影采风偏好 | 雨天备选策略,夜间安全约束,夜间安全约束 | 夏季避暑策略 | 酒店选址偏好,False,False,True,True,0.0000,1.0000
夜游路线要走明亮主路，别太偏,夜间安全约束,摄影采风偏好,摄影采风偏好 | 夜间安全约束 | 酒店选址偏好,夜间安全约束,夜间安全约束 | 摄影采风偏好 | 无障碍需求,False,True,True,True,0.5000,1.0000
住宿点最好离地铁口很近,酒店选址偏好,摄影采风偏好,摄影采风偏好 | 酒店选址偏好 | 文创购物偏好,酒店选址偏好,酒店选址偏好 | 夜间安全约束 | 公共交通优先,False,True,True,True,0.5000,1.0000
酒店周边要有便利店和早餐,酒店选址偏好,酒店选址偏好,酒店选址偏好 | 亲子慢旅行偏好 | 摄影采风偏好,酒店选址偏好,酒店选址偏好 | 夜间安全约束 | 亲子慢旅行偏好,True,True,True,True,1.0000,1.0000
想逛独立书店和手作文创店,文创购物偏好,文创购物偏好,文创购物偏好 | 酒店选址偏好 | 亲子慢旅行偏好,文创购物偏好,文创购物偏好 | 酒店选址偏好 | 雨天备选策略,True,True,True,True,1.0000,1.0000
购物不要去大型商场，控制时长,文创购物偏好,文创购物偏好,文创购物偏好 | 预算控制规则 | 饮食限制与过敏,文创购物偏好,文创购物偏好 | 公共交通优先 | 雨天备选策略,True,True,True,True,1.0000,1.0000
一天花费尽量别超400块,预算控制规则,雨天备选策略,雨天备选策略 | 亲子慢旅行偏好 | 摄影采风偏好,预算控制规则,预算控制规则 | 公共交通优先 | 文创购物偏好,False,False,True,True,0.0000,1.0000
要控制总花销，优先交通和门票,预算控制规则,公共交通优先,公共交通优先 | 预算控制规则 | 饮食限制与过敏,预算控制规则,预算控制规则 | 公共交通优先 | 无障碍需求,False,True,True,True,0.5000,1.0000
有老人同行，需要电梯和坡道,无障碍需求,无障碍需求,无障碍需求 | 亲子慢旅行偏好 | 摄影采风偏好,无障碍需求,无障碍需求 | 亲子慢旅行偏好 | 夜间安全约束,True,True,True,True,1.0000,1.0000
路线别爬很多台阶，找无障碍厕所,无障碍需求,无障碍需求,无障碍需求 | 亲子慢旅行偏好 | 摄影采风偏好,无障碍需求,无障碍需求 | 亲子慢旅行偏好 | 雨天备选策略,True,True,True,True,1.0000,1.0000
中午最热时改成室内活动,夏季避暑策略,亲子慢旅行偏好,亲子慢旅行偏好 | 摄影采风偏好 | 雨天备选策略,夏季避暑策略,夏季避暑策略 | 雨天备选策略 | 亲子慢旅行偏好,False,False,True,True,0.0000,1.0000
高温时段避开户外暴晒,夏季避暑策略,夏季避暑策略,夏季避暑策略 | 亲子慢旅行偏好 | 摄影采风偏好,夏季避暑策略,夏季避暑策略 | 雨天备选策略 | 博物馆预约规则,True,True,True,True,1.0000,1.0000
午间给孩子留休息，晚上再看夜景,亲子慢旅行偏好,夜间安全约束,夜间安全约束 | 亲子慢旅行偏好 | 摄影采风偏好,夜间安全约束,夜间安全约束 | 摄影采风偏好 | 亲子慢旅行偏好,False,True,False,True,0.5000,0.3333
雨天优先连廊和展馆，不排户外,雨天备选策略,雨天备选策略,雨天备选策略 | 公共交通优先 | 博物馆预约规则,雨天备选策略,雨天备选策略 | 无障碍需求 | 夏季避暑策略,True,True,True,True,1.0000,1.0000
出行多坐地铁，换乘别太折腾,公共交通优先,亲子慢旅行偏好,亲子慢旅行偏好 | 摄影采风偏好 | 雨天备选策略,公共交通优先,公共交通优先 | 酒店选址偏好 | 亲子慢旅行偏好,False,False,True,True,0.0000,1.0000
景点预约提前做，避免白跑,博物馆预约规则,博物馆预约规则,博物馆预约规则 | 夜间安全约束 | 预算控制规则,博物馆预约规则,博物馆预约规则 | 夜间安全约束 | 无障碍需求,True,True,True,True,1.0000,1.0000
夜间行程安全第一，早点回酒店,夜间安全约束,夜间安全约束,夜间安全约束 | 酒店选址偏好 | 亲子慢旅行偏好,夜间安全约束,夜间安全约束 | 酒店选址偏好 | 摄影采风偏好,True,True,True,True,1.0000,1.0000
夏天午后安排室内并提醒补水,夏季避暑策略,雨天备选策略,雨天备选策略 | 夜间安全约束 | 夏季避暑策略,夏季避暑策略,夏季避暑策略 | 雨天备选策略 | 亲子慢旅行偏好,False,True,True,True,0.3333,1.0000
